rank,title,year,tmdb_id,notes
206,The Bridge on the River Kwai,1957,826,Academy Award for Best Picture winner; film year 1957; 30th ceremony; source Wikipedia/Academy table
207,12 Angry Men,1957,389,Academy Award for Best Picture nominee; film year 1957; 30th ceremony; source Wikipedia/Academy table
208,Peyton Place,1957,43236,Academy Award for Best Picture nominee; film year 1957; 30th ceremony; source Wikipedia/Academy table
209,Sayonara,1957,40885,Academy Award for Best Picture nominee; film year 1957; 30th ceremony; source Wikipedia/Academy table
210,Witness for the Prosecution,1957,37257,Academy Award for Best Picture nominee; film year 1957; 30th ceremony; source Wikipedia/Academy table
211,Gigi,1958,17281,Academy Award for Best Picture winner; film year 1958; 31st ceremony; source Wikipedia/Academy table
212,Auntie Mame,1958,16347,Academy Award for Best Picture nominee; film year 1958; 31st ceremony; source Wikipedia/Academy table
213,Cat on a Hot Tin Roof,1958,261,Academy Award for Best Picture nominee; film year 1958; 31st ceremony; source Wikipedia/Academy table
214,The Defiant Ones,1958,11414,Academy Award for Best Picture nominee; film year 1958; 31st ceremony; source Wikipedia/Academy table
215,Separate Tables,1958,43136,Academy Award for Best Picture nominee; film year 1958; 31st ceremony; source Wikipedia/Academy table
216,Ben-Hur,1959,665,Academy Award for Best Picture winner; film year 1959; 32nd ceremony; source Wikipedia/Academy table
217,Anatomy of a Murder,1959,93,Academy Award for Best Picture nominee; film year 1959; 32nd ceremony; source Wikipedia/Academy table
218,The Diary of Anne Frank,1959,2576,Academy Award for Best Picture nominee; film year 1959; 32nd ceremony; source Wikipedia/Academy table
219,The Nun's Story,1959,27029,Academy Award for Best Picture nominee; film year 1959; 32nd ceremony; source Wikipedia/Academy table
220,Room at the Top,1959,43103,Academy Award for Best Picture nominee; film year 1959; 32nd ceremony; source Wikipedia/Academy table
221,The Apartment,1960,284,Academy Award for Best Picture winner; film year 1960; 33rd ceremony; source Wikipedia/Academy table
222,The Alamo,1960,11209,Academy Award for Best Picture nominee; film year 1960; 33rd ceremony; source Wikipedia/Academy table
223,Elmer Gantry,1960,22013,Academy Award for Best Picture nominee; film year 1960; 33rd ceremony; source Wikipedia/Academy table
224,Sons and Lovers,1960,53939,Academy Award for Best Picture nominee; film year 1960; 33rd ceremony; source Wikipedia/Academy table
225,The Sundowners,1960,43047,Academy Award for Best Picture nominee; film year 1960; 33rd ceremony; source Wikipedia/Academy table
226,West Side Story,1961,1725,Academy Award for Best Picture winner; film year 1961; 34th ceremony; source Wikipedia/Academy table
227,Fanny,1961,84050,Academy Award for Best Picture nominee; film year 1961; 34th ceremony; source Wikipedia/Academy table
228,The Guns of Navarone,1961,10911,Academy Award for Best Picture nominee; film year 1961; 34th ceremony; source Wikipedia/Academy table
229,The Hustler,1961,990,Academy Award for Best Picture nominee; film year 1961; 34th ceremony; source Wikipedia/Academy table
230,Judgment at Nuremberg,1961,821,Academy Award for Best Picture nominee; film year 1961; 34th ceremony; source Wikipedia/Academy table
231,Lawrence of Arabia,1962,947,Academy Award for Best Picture winner; film year 1962; 35th ceremony; source Wikipedia/Academy table
